id,source_category,text
10,/boards/forums/stigma.54/,"I'd expect the screening technician to have that identification passed to them - a list - Name, NHS number, DOB, Address, Type. I generally couldn't care less who knows I have T1D cos it's just a fact of life, like my having dark hair - just it isn't as noticeable 99.9% of the time. Edit to add question - do they ever have to screen un diabetic people?"
11,/boards/forums/stigma.54/,"I think they have to check they are screening the right person which is why I am asked to check my name and dob. Maybe they need to know why they are screening us or, like when I have been in hospital for surgery, they need to check we know why we are there. It makes me smile on the (US-based) hospital tv series, new patients are introduced by the doc or trainee doc explaining their case. In my experience, the opposite happens. The patient describes it in their own words to avoid mistakes."
12,/boards/forums/stigma.54/,Robin said: I wonder what they think happens to us! Click to expand... Shades of Logan’s Run for us T1s perhaps?
13,/boards/forums/stigma.54/,"TrevorMorgan said: I wholeheartedly agree with you. It is also down to all of us to spread the word. I tell people about my experiences with T2DM if the they want to listen and now I am no longer worrying about the stigma related to the condition which I have experienced too. It is important not to be frightened of stigma and speak our minds: 2 of my friends, who are not overweight, but over 50 got themselves tested after listening to my T2DM diagnosis and treatment and both of them discovered they were pre-diabetic, 1 of them is taking action to improve his diet and exercise. The other is not but that is his choice and who am I to criticise or stigmatise him for it, but no doubt the facts will eventually pay dividends for him. Click to expand... This is what is needed, testing people so they can address problems earlier."
14,/boards/forums/stigma.54/,"My T2 ‘dire betes’ showed up virtually overnight, I’d no symptoms, as far as I know I don’t know any family inheritance. I was a 999 job! I was what I said to hubs ‘vacant’, lights on no one there! Hospital had no idea what was wrong with me, I’d CT scan, MRI ‍♀️ I was in ICU on a drip……. No stroke or TIA! Don’t know why I ended up on insulin as no one told me, not that I would have taken it all in! I already had Peripheral Atrial Fibrillation and on ‘pills’ one clue……. On The Pills, my weight went higher and higher and no dieting was making any difference, I was hardly eating anything, no weight loss - PILLS have a lot to answer for. I’d had a bad illness just before covid was officially announced, it was 6 weeks after ‘a covid’ booster jab. Then, in 2023 diagnosed whi Haemochromatosis Compound variant, Type 1, Celtic disease. Inherited Liver disorder, read up on that! Shocked to my core that ‘I’ a Complementary Health care Therapist of many years, had very basic knowledge of ‘Dire betes’ got it!! I am sick to my back teeth of people saying ‘You can reverse it with THAT diet’!! I had gone very low carb higher protein and I have NOT reversed it or as should be said put it into ‘Remission’!! I’m still fighting like many to keep my BG as low as I can…. So - I have PAF, GH, T2 ‘dire betes’ and that hasn’t been all sadly Mental health - what’s that? Not in a good place at the moment and suffering anxiety….. Panicky like feelings. No one wants to know, family get AND to add to all this, It’s nigh on impossible to eat anywhere other than home! No one considers a Low Carb diabetics dietary needs in cafes, restaurants, residential courses you name it. WHY is this???? Last July I attended a residential course where the venue organisers said you are not to bring your own food, they will cater! Yeah right…… So I trusted them, did they cater for my needs??? NO, numbers going through the floor because I wasn’t getting enough to eat and nothing I could buy in house. Yes, I spoke to the catering, 2/3 days I was not being listened to - TILL one night BG gone so low I was frighted to go to bed……. I had a lady who took me to get some foods, so walked long way to fridge to get some. Didn’t work quickly enough and a member of staff was worried, had phoned the manager at 11;30pm! Only then taken seriously! Moderator note: The further posts which developed about choices in restaurants have been given their own thread here https://forum.diabetes.org.uk/boards/threads/feeling-discriminated-against-in-restaurants.119954/"
15,/boards/forums/stigma.54/,I had an interting convosation yesterday Been refered to see a 'dietician' by doctor Turned out to be a wellbeing coach i see most weeks any way as she runs the weight loss group i go to..... She wasnt happy the doctor was misrepresenting her as a dietician lol Anyway..... We were chatting about things and i said i have no stigma about my cancer or diabetes and will happily chat to any one to raise awareness..... Not my fault i got either so why should i feel guilty or embaressed And she said 'why would you have any stigma about diabetes?' So i told her about this site/forum and recent threads about stigma........ How T1 are intimidated about injecting and T2 are made to feel guilty cos 'its thier own fault' and so on etc She was absolutly unaware that diabetics get this sort of abuse aimed at them Now shes a wellbeing coach.... In no way is she a diabetic HCP..... But i thought it interesting that she had no idea this goes on and i hope i educated her a bit
16,/boards/forums/stigma.54/,"There is still no definitive answer as to why anyone contracts Type1 or Type2 diabetes. Type 1 is often referred to as an auto-immune disease where the pancreas ""stops itself"" from producing insulin. The cause of this auto-immune disease could be because of genetic factors or even virus infection or both together. There can be no possible reason why anyone could be blamed  if they contract Type1. The causes of Type 2 diabetes are different and more complicated and multi-factorial, but once again genetics plays an important role, as do environmental factors and your age: also diet, weight and exercise are factors but not the only ones. Regulating your diet, weight and exercise is probably more important after you contract the condition than before. There can be no excuse for blaming a Type 2 diabetic by saying they eat too much, are too heavy or don't exercise enough. Most people ""eat too much, weigh too much and do not exercise enough"" in the opinion of NHS, but most people do not contract Type 2 so there must be other factors involved. The age at which many people contract Type 2 is now falling, so we need research to find out why. Environmental factors could be crucial; we are all being exposed to ""forever chemicals"" and micro-plastics and ultra-high-processed foods. Younger people are being exposed to more stress. There is even research that suggests that too much light at the wrong time of day has an adverse effect on our endocrine system. Genetics could predispose you, and then environmental factors could push you over the edge. We owe it to younger people to improve their environment to ensure that they have happy, productive and long lives. Stigma does not help any diabetic. The only way to ameliorate the problem would be to establish the full facts and use reason to find solutions."
17,/boards/forums/stigma.54/,TrevorMorgan said: The causes of Type 2 diabetes are different and more complicated Click to expand... Try known side effect of cancer treatment........ Im in remission for cancer then get T2D cos of it!!
18,/boards/forums/stigma.54/,"Robin said: Ive been asked at eye screenings whether I'm Type 2, while the screener has been staring at my notes in disbelief. It’s as if they can’t believe anyone so old has Type 1, I wonder what they think happens to us! Click to expand... I was diagnosed with type 1 at the ripe age of 59 years. There are still people and medics out there who refuse to believe me. I happened to be in hospital a couple of months ago. The out of hours GP services nurse refused to take my word for it. To make matters even worse, my diabetes is volatile to manage as it is, it puts a doubt in my head if I am actually being treated for the correct type? Pls feel free to comment. Thanks. Stay well."
19,/boards/forums/stigma.54/,Well several comments.  Everyone's T1 diabetes is at the very least difficult to manage; why would anyone expect yours wouldn't be? What the heck has an out of hours GP nurse got to do with you being in hospital? What actual tests have been done to prove you have T1? - and what were the results of those?
20,/boards/forums/stigma.54/,"Type one it’s not your fault and you need meds and diet  to keep it in control . Type two can be prevented, put in remission and is usually either your lifestyle or your families to blame . Both cause issues both have stigmas to them but most celebrate type ones achieving. Type two is like obesity most say it’s your own fault. Lazy, too much wrong diet etc etc But hey life  is what you make it? For some yeh for others? When you’re born you’re dealt life and have to just get on with it. ….. just waiting for it to end…. For me the sooner the better."
21,/boards/forums/stigma.54/,"People living with Type 1 do not need diet to keep it in control (and we prefer to say manage rather than control) - And I know several people living with Type 2 where their ""lifestyle"" or weight has nothing to do with them living with the condition (mostly genetic) - these misconceptions are where stigma develops and gets worse"
22,/boards/forums/stigma.54/,Whatever  you say control / manage as you say the Stigma is HUGE. Like we never chose to be born we never chose to gave any type of diabetes either .
23,/boards/forums/stigma.54/,"Nayshiftin said: Type one it’s not your fault and you need meds and diet  to keep it in control . Type two can be prevented, put in remission and is usually either your lifestyle or your families to blame . Both cause issues both have stigmas to them but most celebrate type ones achieving. Type two is like obesity most say it’s your own fault. Lazy, too much wrong diet etc etc But hey life  is what you make it? For some yeh for others? When you’re born you’re dealt life and have to just get on with it. ….. just waiting for it to end…. For me the sooner the better. Click to expand... My thoughts are different. I’ve known “body is a temple” fitness fanatics and non-“stereotypes” contract these conditions & sadly far worst to list. Even a conscious mind can’t always prevent the subject matter here. Whatever type. mashedupmatt said: People living with Type 1 do not need diet to keep it in control (and we prefer to say manage rather than control) - And I know several people living with Type 2 where their ""lifestyle"" or weight has nothing to do with them living with the condition (mostly genetic) - these misconceptions are where stigma develops and gets worse Click to expand... As a long term T1 I prefer “steer.”"
24,/boards/forums/stigma.54/,"Type one it’s not your fault and you need meds and diet  to keep it in control . Type two can be prevented, put in remission and is usually either your lifestyle or your families to blame . Both cause issues both have stigmas to them but most celebrate type ones achieving. Type two is like obesity most say it’s your own fault. Lazy, too much wrong diet etc etc But hey life  is what you make it? For some yeh for others? When you’re born you’re dealt life and have to just get on with it. ….. just waiting for it to end…. For me the sooner the better."
25,/boards/forums/stigma.54/,"People living with Type 1 do not need diet to keep it in control (and we prefer to say manage rather than control) - And I know several people living with Type 2 where their ""lifestyle"" or weight has nothing to do with them living with the condition (mostly genetic) - these misconceptions are where stigma develops and gets worse"
26,/boards/forums/stigma.54/,Whatever  you say control / manage as you say the Stigma is HUGE. Like we never chose to be born we never chose to gave any type of diabetes either .
27,/boards/forums/stigma.54/,"Nayshiftin said: Type one it’s not your fault and you need meds and diet  to keep it in control . Type two can be prevented, put in remission and is usually either your lifestyle or your families to blame . Both cause issues both have stigmas to them but most celebrate type ones achieving. Type two is like obesity most say it’s your own fault. Lazy, too much wrong diet etc etc But hey life  is what you make it? For some yeh for others? When you’re born you’re dealt life and have to just get on with it. ….. just waiting for it to end…. For me the sooner the better. Click to expand... My thoughts are different. I’ve known “body is a temple” fitness fanatics and non-“stereotypes” contract these conditions & sadly far worst to list. Even a conscious mind can’t always prevent the subject matter here. Whatever type. mashedupmatt said: People living with Type 1 do not need diet to keep it in control (and we prefer to say manage rather than control) - And I know several people living with Type 2 where their ""lifestyle"" or weight has nothing to do with them living with the condition (mostly genetic) - these misconceptions are where stigma develops and gets worse Click to expand... As a long term T1 I prefer “steer.”"
28,/boards/forums/stigma.54/,"Type one it’s not your fault and you need meds and diet  to keep it in control . Type two can be prevented, put in remission and is usually either your lifestyle or your families to blame . Both cause issues both have stigmas to them but most celebrate type ones achieving. Type two is like obesity most say it’s your own fault. Lazy, too much wrong diet etc etc But hey life  is what you make it? For some yeh for others? When you’re born you’re dealt life and have to just get on with it. ….. just waiting for it to end…. For me the sooner the better."
29,/boards/forums/stigma.54/,"People living with Type 1 do not need diet to keep it in control (and we prefer to say manage rather than control) - And I know several people living with Type 2 where their ""lifestyle"" or weight has nothing to do with them living with the condition (mostly genetic) - these misconceptions are where stigma develops and gets worse"
30,/boards/forums/stigma.54/,Whatever  you say control / manage as you say the Stigma is HUGE. Like we never chose to be born we never chose to gave any type of diabetes either .
31,/boards/forums/stigma.54/,"Nayshiftin said: Type one it’s not your fault and you need meds and diet  to keep it in control . Type two can be prevented, put in remission and is usually either your lifestyle or your families to blame . Both cause issues both have stigmas to them but most celebrate type ones achieving. Type two is like obesity most say it’s your own fault. Lazy, too much wrong diet etc etc But hey life  is what you make it? For some yeh for others? When you’re born you’re dealt life and have to just get on with it. ….. just waiting for it to end…. For me the sooner the better. Click to expand... My thoughts are different. I’ve known “body is a temple” fitness fanatics and non-“stereotypes” contract these conditions & sadly far worst to list. Even a conscious mind can’t always prevent the subject matter here. Whatever type. mashedupmatt said: People living with Type 1 do not need diet to keep it in control (and we prefer to say manage rather than control) - And I know several people living with Type 2 where their ""lifestyle"" or weight has nothing to do with them living with the condition (mostly genetic) - these misconceptions are where stigma develops and gets worse Click to expand... As a long term T1 I prefer “steer.”"
32,/boards/forums/stigma.54/,"I've just been made aware of this disgusting Christmas card available from Tesco It is WRONG in so many ways. Can this be brought to the attention of Diabetes UK please, who may (should!) take action to remove it. Diabetes and alcoholism are NOT joking matters"
33,/boards/forums/stigma.54/,Wrong in so many ways
34,/boards/forums/stigma.54/,"That's appalling. Just reinforcing the incorrect and hurtful beliefs that some people have about diabetes, and alcoholism too."
35,/boards/forums/stigma.54/,"Diabetes and alcoholism cause untold misery, suffering and pain to millions of people around the world Worst of all in my view is the reinforcement of the stigma and guilt many people experience because of their conditions I know very well from hearing the stories of hundreds of people here over the years that many people - whatever their type of diabetes - are made to feel it is 'their own fault' It is absolutely NOT! I understand the 'joke', and I have a good sense of humour and high tolerance for things that might be seen as 'offensive', but this has no humorous value, and needs to disappear in the same way that many other myths and prejudices have over the past few decades. Would they put out a card that joked about depression or autism or sexual identity? Relegate this to history!"
36,/boards/forums/stigma.54/,"Northerner said: I've just been made aware of this disgusting Christmas card available from Tesco It is WRONG in so many ways. Can this be brought to the attention of Diabetes UK please, who may (should!) take action to remove it. Diabetes and alcoholism are NOT joking matters View attachment 37706 Click to expand... Outrageously inappropriate, but in this day and age nothing shocks me"
37,/boards/forums/stigma.54/,"Northerner said: I've just been made aware of this disgusting Christmas card available from Tesco It is WRONG in so many ways. Can this be brought to the attention of Diabetes UK please, who may (should!) take action to remove it. Diabetes and alcoholism are NOT joking matters View attachment 37706 Click to expand... Try making complaints to Tescos on Twitter, I find that can be a better media"
38,/boards/forums/stigma.54/,Thanks for highlighting this @Northerner I’ve passed on your concerns to the ‘Tackling Stigma’ team.
39,/boards/forums/stigma.54/,(Sarcasm on) Good to know the diabetes uk partnership with Tesco is raising awareness (Sarcasm off)
40,/boards/forums/stigma.54/,"Without doubt, offensive on so many levels"
41,/boards/forums/stigma.54/,Lucyr said: (Sarcasm on) Good to know the diabetes uk partnership with Tesco is raising awareness (Sarcasm off) Click to expand... It’s a pretty unfortunate lapse of judgement Hopefully DUK can do something about it.
42,/boards/forums/stigma.54/,"Meh, does not really bother me TBH. It is a joke after all? But I have a warped sense of humour anyway, so maybe its just me...."
43,/boards/forums/stigma.54/,"pjgtech said: Meh, does not really bother me TBH. It is a joke after all? But I have a warped sense of humour anyway, so maybe its just me.... Click to expand... Other jokes are available, this one has become increasingly tired and anachronistic"
44,/boards/forums/stigma.54/,"everydayupsanddowns said: Thanks for highlighting this @Northerner I’ve passed on your concerns to the ‘Tackling Stigma’ team. Click to expand... Didn't realise there was a 'Stigma' section now - I don't know, you turn your back for five minutes and someone decides to rearrange all the furniture!"
45,/boards/forums/stigma.54/,Seriously!! Why are people still stuck in the past!! There is nothing funny about Diabetes!!!!
46,/boards/forums/stigma.54/,"Another reason why I am not shopping at Tesco. Sorely tempted to go there and look, but it's only staff and they are not paid to do anything. Gggggrrrrrr"
47,/boards/forums/stigma.54/,"AleGna68 said: Try making complaints to Tescos on Twitter, I find that can be a better media Click to expand... Agreed! Companies always respond quicker if you tag them on social media."
48,/boards/forums/stigma.54/,It looks like they've already taken it down - just seen this on Facebook
49,/boards/forums/stigma.54/,"mashedupmatt said: View attachment 37714 It looks like they've already taken it down - just seen this on Facebook Click to expand... Hehe! You beat me to it, I was just going to post this"
50,/boards/forums/stigma.54/,"Northerner said: I've just been made aware of this disgusting Christmas card available from Tesco It is WRONG in so many ways. Can this be brought to the attention of Diabetes UK please, who may (should!) take action to remove it. Diabetes and alcoholism are NOT joking matters View attachment 37706 Click to expand... This card is stupid beyond belief and it is not even humorous. it is insulting to diabetics, alcoholics and Christians, and is the product of a warped imagination."
51,/boards/forums/stigma.54/,I see it’s a Marketplace item not a Tesco product. Tesco should never have stocked it - a total error of judgement - but I noted the actual company who designed it too: Wee Blue Coo. I won’t be buying any of their cards.
52,/boards/forums/stigma.54/,"Northerner said: I've just been made aware of this disgusting Christmas card available from Tesco It is WRONG in so many ways. Can this be brought to the attention of Diabetes UK please, who may (should!) take action to remove it. Diabetes and alcoholism are NOT joking matters View attachment 37706 Click to expand... ... and it's buying in to the stereotype that it's okay for men specifically to drink too much - which is particularly irresponsible given that rates of domestic violence peak at Christmas."
53,/boards/forums/stigma.54/,"pjgtech said: Meh, does not really bother me TBH. It is a joke after all? But I have a warped sense of humour anyway, so maybe its just me.... Click to expand... 'Love Thy Neighbour' was perceived as ""a joke"" in the 1970s but thankfully attitudes change and some things are no longer perceived as funny by most people."
54,/boards/forums/stigma.54/,"Yes I’m awaiting the official DUK response, but from what I can tell, the card was removed from sale by Tesco this morning. As I understand it it was on sale at Tesco through a 3rd party supplier, and I believe it has also been withdrawn from other outlets. I’ll let you know the official response as soon as I have it."
55,/boards/forums/stigma.54/,I wouldn't buy it anyway but the bigger problem for me... £3.99 for a single card ? Someone's havin' a tin bath...
56,/boards/forums/stigma.54/,"I’ve received thanks for the forum, and you @Northerner for bringing this card to the attention of Diabetes UK. They certainly jumped into action, and the card was withdrawn from sale very quickly. I’ve had this official response to share with you, that gives more information: “Thank you for bringing to our attention this issue. Diabetes is not a joke, and this card fuels the blame, judgement and harmful misconceptions that people with diabetes face on a daily basis. First and foremost we hope that you are ok, and would like to remind you that if you do need our support you can reach out to our helpline at 0345 123 2399. ​ ​ “We want to reassure you that Tesco have confirmed that the card has been removed from sale and have apologised for the offence caused. The card was sold by a third-party seller on Tesco Marketplace, and Tesco have reassured us that they have strict guidelines in place that they expect all third-party sellers to follow, alongside internal processes in place to monitor for any products that do not align with these standards. They are sorry that on this occasion this did not happen, and are working to immediately address this issue through an internal investigation. Diabetes UK and Tesco have a longstanding partnership and have been working together for over a decade to fight against diabetes stigma and remain committed to doing so. We are pleased that following action by Tesco, the card has also been removed from other retail outlets. ​ ​ “At Diabetes UK we remain committed to tackling diabetes stigma, and will continue to challenge the myths and misinformation that fuel it. We also know we can’t do this alone, so would like to thank you for bringing this to our attention so that we can strike out stigma.” ​"
57,/boards/forums/stigma.54/,Glad Tesco responded so quickly
58,/boards/forums/stigma.54/,Partha Kar was onto it as well.
59,/boards/forums/stigma.54/,"Northerner said: Diabetes and alcoholism cause untold misery, suffering and pain to millions of people around the world Worst of all in my view is the reinforcement of the stigma and guilt many people experience because of their conditions I know very well from hearing the stories of hundreds of people here over the years that many people - whatever their type of diabetes - are made to feel it is 'their own fault' It is absolutely NOT! I understand the 'joke', and I have a good sense of humour and high tolerance for things that might be seen as 'offensive', but this has no humorous value, and needs to disappear in the same way that many other myths and prejudices have over the past few decades. Would they put out a card that joked about depression or autism or sexual identity? Relegate this to history! Click to expand... I don't find it LOL funny and I don't think they will sell many but not in favour of getting it banned nor am I remotely offended.  I am a diabetic though not an alcoholic.   All this outrage is sounding a little defensive after all food + a genetic proclivity surely is the cause of type 2 diabetes."
60,/boards/forums/stigma.54/,"Pandora71 said: I don't find it LOL funny and I don't think they will sell many but not in favour of getting it banned nor am I remotely offended.  I am a diabetic though not an alcoholic.   All this outrage is sounding a little defensive after all food + a genetic proclivity surely is the cause of type 2 diabetes. Click to expand... Can you not understand that these attitudes, and ""jokes"" and cards make people not only with type 2 diabetes, but diabetes in general often feels bad? I say diabetes in general because the public are often out there with little to no knowledge between types."
61,/boards/forums/stigma.54/,"Northerner said: Diabetes and alcoholism cause untold misery, suffering and pain to millions of people around the world Worst of all in my view is the reinforcement of the stigma and guilt many people experience because of their conditions I know very well from hearing the stories of hundreds of people here over the years that many people - whatever their type of diabetes - are made to feel it is 'their own fault' It is absolutely NOT! I understand the 'joke', and I have a good sense of humour and high tolerance for things that might be seen as 'offensive', but this has no humorous value, and needs to disappear in the same way that many other myths and prejudices have over the past few decades. Would they put out a card that joked about depression or autism or sexual identity? Relegate this to history! Click to expand... Absolutely spot on. I agree with everything you've said. (I've just found out about this story!!)"
62,/boards/forums/stigma.54/,"everydayupsanddowns said: I’ve received thanks for the forum, and you @Northerner for bringing this card to the attention of Diabetes UK. They certainly jumped into action, and the card was withdrawn from sale very quickly. I’ve had this official response to share with you, that gives more information: “Thank you for bringing to our attention this issue. Diabetes is not a joke, and this card fuels the blame, judgement and harmful misconceptions that people with diabetes face on a daily basis. First and foremost we hope that you are ok, and would like to remind you that if you do need our support you can reach out to our helpline at 0345 123 2399. ​ ​ “We want to reassure you that Tesco have confirmed that the card has been removed from sale and have apologised for the offence caused. The card was sold by a third-party seller on Tesco Marketplace, and Tesco have reassured us that they have strict guidelines in place that they expect all third-party sellers to follow, alongside internal processes in place to monitor for any products that do not align with these standards. They are sorry that on this occasion this did not happen, and are working to immediately address this issue through an internal investigation. Diabetes UK and Tesco have a longstanding partnership and have been working together for over a decade to fight against diabetes stigma and remain committed to doing so. We are pleased that following action by Tesco, the card has also been removed from other retail outlets. ​ ​ “At Diabetes UK we remain committed to tackling diabetes stigma, and will continue to challenge the myths and misinformation that fuel it. We also know we can’t do this alone, so would like to thank you for bringing this to our attention so that we can strike out stigma.” ​ Click to expand... Unfortunately also available on Amazon"
63,/boards/forums/stigma.54/,Caz58 said: Unfortunately also available on Amazon Click to expand...
64,/boards/forums/stigma.54/,"Northerner said: I've just been made aware of this disgusting Christmas card available from Tesco It is WRONG in so many ways. Can this be brought to the attention of Diabetes UK please, who may (should!) take action to remove it. Diabetes and alcoholism are NOT joking matters View attachment 37706 Click to expand... I've had a look and I believe this card is from 3rd party supplier 'thortful' - done some digging and it appears thortful have taken it off their site as well!!!  EDIT: it seems the creator of it 'Artery8' - no actual direct website or anything so no way to get to the root of this. I have seen that Amazon have restricted being able to leave a review for it due to 'unusual review activity' from consistent 1 star reviews."
65,/boards/forums/stigma.54/,"Inka said: I see it’s a Marketplace item not a Tesco product. Tesco should never have stocked it - a total error of judgement - but I noted the actual company who designed it too: Wee Blue Coo. I won’t be buying any of their cards. Click to expand... It was stocked by a few companies, but the company that sold it on Tesco was Wee Blue Coo as above."
66,/boards/forums/stigma.54/,"I see it as nothing more than a bit of fun. I enjoy being able to at least laugh at my conditions and people do tend to push the limits with their conditions at times, it is actually true. I have no problem with this at all."
